Datetime,Open,High,Low,Close,Adj Close,Volume
2023-08-27 00:00:00+00:00,26008.2421875,26008.2421875,26001.0390625,26001.0390625,26001.0390625,0
2023-08-27 00:05:00+00:00,26000.642578125,26003.296875,26000.642578125,26001.8984375,26001.8984375,0
2023-08-27 00:10:00+00:00,25999.61328125,26002.81640625,25999.61328125,26002.81640625,26002.81640625,1192960
2023-08-27 00:15:00+00:00,26002.439453125,26007.69921875,26002.439453125,26007.69921875,26007.69921875,0
2023-08-27 00:20:00+00:00,26007.787109375,26012.275390625,26006.90625,26012.275390625,26012.275390625,0
2023-08-27 00:25:00+00:00,26013.576171875,26015.724609375,26013.576171875,26015.138671875,26015.138671875,0
2023-08-27 00:30:00+00:00,26016.431640625,26019.162109375,26013.615234375,26013.615234375,26013.615234375,0
2023-08-27 00:35:00+00:00,26014.80859375,26014.80859375,26005.669921875,26005.669921875,26005.669921875,0
2023-08-27 00:40:00+00:00,26005.87890625,26006.947265625,26001.353515625,26001.353515625,26001.353515625,8812032
2023-08-27 00:45:00+00:00,26002.173828125,26002.173828125,25998.7578125,25999.82421875,25999.82421875,8058368
2023-08-27 00:50:00+00:00,25999.998046875,25999.998046875,25995.26953125,25995.26953125,25995.26953125,0
2023-08-27 00:55:00+00:00,25999.609375,26000.37890625,25992.408203125,25992.408203125,25992.408203125,5552640
2023-08-27 01:00:00+00:00,25993.81640625,25993.81640625,25984.400390625,25984.400390625,25984.400390625,0
2023-08-27 01:05:00+00:00,25986.294921875,25994.173828125,25982.458984375,25994.173828125,25994.173828125,0
2023-08-27 01:10:00+00:00,26002.03125,26002.03125,25998.87890625,25998.87890625,25998.87890625,10351616
2023-08-27 01:15:00+00:00,25998.748046875,25998.748046875,25985.50390625,25985.50390625,25985.50390625,2747392
2023-08-27 01:20:00+00:00,25986.435546875,25995.45703125,25986.435546875,25988.494140625,25988.494140625,0
2023-08-27 01:25:00+00:00,25989.560546875,25990.78515625,25989.560546875,25990.626953125,25990.626953125,0
2023-08-27 01:30:00+00:00,25988.822265625,25988.904296875,25986.412109375,25987.9609375,25987.9609375,20040704
2023-08-27 01:35:00+00:00,25989.103515625,25989.103515625,25979.404296875,25979.404296875,25979.404296875,0
2023-08-27 01:40:00+00:00,25974.599609375,25977.80859375,25965.09765625,25971.810546875,25971.810546875,38675968
2023-08-27 01:45:00+00:00,25968.05078125,25976.767578125,25968.05078125,25976.767578125,25976.767578125,9708544
